parkalias,parkID,parkName,city,state,country
,WAR01,Rocky Point Park,Warwick,RI,US
,WAS01,Olympic Grounds,Washington,DC,US
,WAS02,National Grounds,Washington,DC,US
,WAS03,Capitol Grounds,Washington,DC,US
,WAS04,Athletic Park,Washington,DC,US
,WAS05,Swampoodle Grounds,Washington,DC,US
,WAS06,Boundary Field,Washington,DC,US
,WAS07,American League Park I,Washington,DC,US
,WAS08,American League Park II,Washington,DC,US
,WAS09,Griffith Stadium,Washington,DC,US
D.C. Stadium,WAS10,Robert F. Kennedy Stadium,Washington,DC,US
,WAS11,Nationals Park,Washington,DC,US
,WAT01,Troy Ball Club Grounds,Watervliet,NY,US
,WAV01,Waverly Fairgrounds,Waverly,NJ,US
,WEE01,Monitor Grounds,Weehawken,NJ,US
,WHE01,Island Grounds,Wheeling,WV,US
,WIL01,Union Street Park,Wilmington,DE,US
,WIL02,BB&T Ballpark at Bowman Field,Williamsport,PA,US
,WNY01,West New York Field Club Grounds,West New York,NJ,US
,WOR01,Agricultural County Fair Grounds I,Worcester,MA,US
,WOR02,Agricultural County Fair Grounds II,Worcester,MA,US
,WOR03,Worcester Driving Park Grounds,Worcester,MA,US
Estadio Alfredo Harp HelÃÂº,MEX02,Alfredo Harp HelÃÂº Stadium,Mexico City,CDMX,MX
,DYE01,Field of Dreams,Dyersville,IA,US
Dunedin Stadium at Grant Field; Knology Park; Florida Auto Exchange Stadium,DUN01,TD Ballpark,Dunedin,FL,US
Pilot Field; Downtown Ballpark; North AmeriCare Park; Dunn Tire Park; Coca-Cola Field,BUF05,Sahlen Field,Buffalo,NY,US
,ARL03,Field of Dreams,Arlington,TX,US
